Index,PDB Code,Class,Region
d2gu2a1,2gu2,a/b,A:4-310
d2q7sa1,2q7s,a/b,A:10-289
d2odfa1,2odf,a/b,A:6-257
d2pw6a1,2pw6,a/b,A:14-271
d2p90a1,2p90,a/b,A:6-274
d3by5a1,3by5,a/b,A:8-130
d2w6ka1,2w6k,a/b,A:1-139
d3eeqa1,3eeq,a/b,A:215-335
d3eeqa2,3eeq,a/b,A:8-214
d3deka1,3dek,a/b,A:34-277
d3bqnb1,3bqn,a/b,B:128-309
d2ob5a1,2ob5,a/b,A:1-147
d2o57a1,2o57,a/b,A:16-297
d2p7ib1,2p7i,a/b,B:21-249
d2okca1,2okc,a/b,A:9-433
d2pkwa1,2pkw,a/b,A:1-252
d2py6a1,2py6,a/b,A:14-408
d2ckda1,2ckd,a/b,A:8-310
d2dula1,2dul,a/b,A:3-377
d2oo3a1,2oo3,a/b,A:9-279
d3bc8a1,3bc8,a/b,A:23-467
d2e7ja1,2e7j,a/b,A:8-371
d2z67a1,2z67,a/b,A:1-434
d2fsua1,2fsu,a/b,A:12-194
d2h1qa1,2h1q,a/b,A:1-251
d3cu0a1,3cu0,a/b,A:75-335
d2dpwa1,2dpw,a/b,A:1-231
d2cu2a2,2cu2,a/b,A:1-268
d2i5ea1,2i5e,a/b,A:1-208
d2vl8a1,2vl8,a/b,A:1-542
d2vk9a1,2vk9,a/b,A:2-541
d3dblb1,3dbl,a/b,B:12-441
d2jeya1,2jey,a/b,A:1-542
d2pbla1,2pbl,a/b,A:1-261
d2rhwa1,2rhw,a/b,A:4-286
d2h1ia1,2h1i,a/b,A:1-202
d3b5ea1,3b5e,a/b,A:7-215
d2r8ba1,2r8b,a/b,A:44-246
d2nw6a1,2nw6,a/b,A:1-320
d2fuka1,2fuk,a/b,A:3-220
d2i3da1,2i3d,a/b,A:2-219
d2d81a1,2d81,a/b,A:21-338
d2gzsa1,2gzs,a/b,A:41-305
d2dsta1,2dst,a/b,A:2-123
d2vata1,2vat,a/b,A:7-382
d2pl5a1,2pl5,a/b,A:5-366
d2jbwa1,2jbw,a/b,A:8-367
d2v4ya1,2v4y,a/b,A:5-241
d2nyga1,2nyg,a/b,A:2-271
d2pb9a1,2pb9,a/b,A:268-451
d2phpa1,2php,a/b,A:241-420
d2psba1,2psb,a/b,A:13-308
d3boea1,3boe,a/b,A:224-432
d2qgfa2,2qgf,a/b,A:151-310
d3bjza1,3bjz,a/b,A:2-194
d3c04a1,3c04,a/b,A:6-154
d2qrqa1,2qrq,a/b,A:10-835
d2c1xa1,2c1x,a/b,A:7-456
d2acva1,2acv,a/b,A:3-463
d2pq6a1,2pq6,a/b,A:8-480
d2vcha1,2vch,a/b,A:6-476
d2nzwa1,2nzw,a/b,A:1-349
d2ocda1,2ocd,a/b,A:2-337
d2pc9a1,2pc9,a/b,A:212-527
d2phza1,2phz,a/b,A:20-296
d2pjua1,2pju,a/b,A:11-196
d3ckma1,3ckm,a/b,A:257-573
d2onsa1,2ons,a/b,A:32-342
d2qmwa1,2qmw,a/b,A:1-184
d2nxoa1,2nxo,a/b,A:5-281
d2ozza1,2ozz,a/b,A:1-228
d2i6ea1,2i6e,a/b,A:16-287
d2v3qa1,2v3q,a/b,A:1-376
d2p0sa1,2p0s,a/b,A:48-183
d3c8ya1,3c8y,a/b,A:210-574
d2pw9a1,2pw9,a/b,A:7-257
d1xsfa1,1xsf,a+b,A:23-108
d2ikba1,2ikb,a+b,A:1-163
d2nr7a1,2nr7,a+b,A:1-192
d2oqoa1,2oqo,a+b,A:57-243
d2olva1,2olv,a+b,A:67-292
d2igsa1,2igs,a+b,A:4-215
d2jqfr1,2jqf,a+b,R:29-201
d2f4ma1,2f4m,a+b,A:164-450
d2ebfx3,2ebf,a+b,X:1094-1285
d2ihoa2,2iho,a+b,A:156-293
d2hlya1,2hly,a+b,A:5-206
d2j7qa1,2j7q,a+b,A:1-232
d2if6a1,2if6,a+b,A:19-200
d2cy7a1,2cy7,a+b,A:10-373
d2gzjf1,2gzj,a+b,F:2-133
d2o3ba1,2o3b,a+b,A:35-274
d2rhba2,2rhb,a+b,A:191-344
d2hg7a1,2hg7,a+b,A:1-60
d2z2mc1,2z2m,a+b,C:631-692
d2cz8a1,2cz8,a+b,A:2-68
d2jnaa1,2jna,a+b,A:1-96
d2noca1,2noc,a+b,A:1-91
d1vs6t1,1vs6,a+b,T:1-99
d2v94a1,2v94,a+b,A:1-93
d2vrha2,2vrh,a+b,A:1-131
d2oika1,2oik,a+b,A:6-144
d2pofa1,2pof,a+b,A:31-250
d2plga1,2plg,a+b,A:3-154
d2i8da1,2i8d,a+b,A:2-122
d2oc6a1,2oc6,a+b,A:1-123
d2g7ja1,2g7j,a+b,A:1-112
d2od0a1,2od0,a+b,A:3-105
d2hq4a1,2hq4,a+b,A:1-152
d2qale1,2qal,a+b,E:78-158
d2nn6e1,2nn6,a+b,E:5-191
d2nn6d1,2nn6,a+b,D:25-146
d2nn6a1,2nn6,a+b,A:1-184
d2nn6c1,2nn6,a+b,C:7-187
d2nn6f1,2nn6,a+b,F:29-175
d2je6a1,2je6,a+b,A:1-191
d2je6b1,2je6,a+b,B:8-155
d2jt2a2,2jt2,a+b,A:128-269
d2o6vd1,2o6v,a+b,D:301-376
d2rpqa1,2rpq,a+b,A:15-93
d3d32a1,3d32,a+b,A:1-118
d2zjda1,2zjd,a+b,A:2-120
d2emsa3,2ems,a+b,A:2-87
d1wspa1,1wsp,a+b,A:750-832
d2cu3a1,2cu3,a+b,A:1-63
d2hj1a1,2hj1,a+b,A:11-87
d2g9hd2,2g9h,a+b,D:87-216
d2gria1,2gri,a+b,A:1-112
d2i1sa1,2i1s,a+b,A:4-188
d2a90a1,2a90,a+b,A:43-131
d2a90a2,2a90,a+b,A:132-211
d3c96a2,3c96,a+b,A:183-293
d2voua2,2vou,a+b,A:164-291
d2bi7a2,2bi7,a+b,A:248-316
d2ivda2,2ivd,a+b,A:307-414
d2dw4a3,2dw4,a+b,A:655-763
d3cpig3,3cpi,a+b,G:302-399
d2gu3a1,2gu3,a+b,A:99-161
d2gu3a2,2gu3,a+b,A:34-98
d1zx2a1,1zx2,a+b,A:1-141
d2bnga1,2bng,a+b,A:13-144
d2geya1,2gey,a+b,A:2-145
d3ebta1,3ebt,a+b,A:1-131
d3ec9a1,3ec9,a+b,A:10-139
d3dmca1,3dmc,a+b,A:1-133
d1z1sa1,1z1s,a+b,A:1-129
d3ebya1,3eby,a+b,A:6-162
d3e99a1,3.00E+99,a+b,A:1-163
d2fxta1,2fxt,a+b,A:234-425
d3blza1,3blz,a+b,A:3-126
d2r4ia1,2r4i,a+b,A:1-122
d3bb9a1,3bb9,a+b,A:27-147
d3b7ca1,3b7c,a+b,A:1-121
d3cnxa1,3cnx,a+b,A:5-157
d2owpa1,2owp,a+b,A:1-128
d3dxoa1,3dxo,a+b,A:1-117
d3en8a1,3en8,a+b,A:1-127
d3dm8a1,3dm8,a+b,A:1-135
d3ecfa1,3ecf,a+b,A:2-129
d2gxfa1,2gxf,a+b,A:1-128
d2imja1,2imj,a+b,A:5-159
d3er7a1,3er7,a+b,A:5-122
d2rgqa1,2rgq,a+b,A:1-133
d2chca1,2chc,a+b,A:1-167
d2cc3a1,2cc3,a+b,A:92-231
d2bhma1,2bhm,a+b,A:97-235
d3d9ra1,3d9r,a+b,A:3-134
d3ejva1,3ejv,a+b,A:2-160
d2rfra1,2rfr,a+b,A:1-153
d3ef8a1,3ef8,a+b,A:1-149
d3cu3a1,3cu3,a+b,A:9-170
d3b8la1,3b8l,a+b,A:1-144
d2k54a1,2k54,a+b,A:1-123
d2i9wa1,2i9w,a+b,A:46-158
d2q07a3,2q07,a+b,A:394-459
d2j0181,2j01,a+b,8:2-65
d2hjqa2,2hjq,a+b,A:1-49
d2outa2,2out,a+b,A:4-70
d2e9xb2,2e9x,a+b,B:1-61
d2e9xd2,2e9x,a+b,D:166-223
d2e9xc2,2e9x,a+b,C:1001-1087
d3c5zd2,3c5z,a+b,D:1-120
d2q7ya2,2q7y,a+b,A:7-185
d2px9b1,2px9,a+b,B:1-158
d2nvuc1,2nvu,a+b,C:3-183
d3e46a2,3.00E+46,a+b,A:1-156
d2dmfa1,2dmf,a+b,A:8-131
d2daxa1,2dax,a+b,A:8-147
d2dawa1,2daw,a+b,A:8-148
d2fzpa1,2fzp,a+b,A:193-317
d2hwja1,2hwj,a+b,A:4-204
d2b6fa1,2b6f,a+b,A:17-137
d2gdta1,2gdt,a+b,A:2-116
d3c8wa1,3c8w,a+b,A:5-254
d3cmba1,3cmb,a+b,A:1-264
d2dsya1,2dsy,a+b,A:3-82
d2k7ia1,2k7i,a+b,A:1-62
d2k49a1,2k49,a+b,A:59-110
d2k49a2,2k49,a+b,A:1-58
d3bida1,3bid,a+b,A:1-56
d2h9fa1,2h9f,a+b,A:1-182
d2h9fa2,2h9f,a+b,A:187-395
d2rh7a1,2rh7,a+b,A:7-226
d2retb1,2ret,a+b,B:32-197
d3ci0j1,3ci0,a+b,J:39-192
d2reta1,2ret,a+b,A:30-110
d3ci0i1,3ci0,a+b,I:31-114
d2e50a1,2.00E+50,a+b,A:1-222
d3bzia1,3bzi,a+b,A:371-500
d3bzia2,3bzi,a+b,A:501-593
d2vrha3,2vrh,a+b,A:132-247
d3bn0a1,3bn0,a+b,A:2-102
d2qalp1,2qal,a+b,P:1-82
d2pjsa1,2pjs,a+b,A:3-113
d2jova1,2jov,a+b,A:1-77
d2fo1e1,2fo1,a+b,E:1021-1297
d2hnga1,2hng,a+b,A:5-128
d1o50a3,1o50,a+b,A:1-145
d1pbja3,1pbj,a+b,A:2-121
d1pvma4,1pvm,a+b,A:1-142
d1jcna4,1jcn,a+b,A:112-231
d1zfja4,1zfj,a+b,A:95-220
d1yava3,1yav,a+b,A:13-144
d1vr9a3,1vr9,a+b,A:1-121
d2o16a3,2o16,a+b,A:20-158
d1y5ha3,1y5h,a+b,A:2-124
d2yzqa1,2yzq,a+b,A:123-278
d2yzqa2,2yzq,a+b,A:1-122
d2ef7a1,2ef7,a+b,A:1-127
d2yvxa2,2yvx,a+b,A:132-275
d2ooxe1,2oox,a+b,E:3-181
d2ooxe2,2oox,a+b,E:182-334
d2yzia1,2yzi,a+b,A:4-135
d3ddja1,3ddj,a+b,A:136-276
d3ddja2,3ddj,a+b,A:1-135
d2rc3a1,2rc3,a+b,A:23-149
d2j9la1,2j9l,a+b,A:578-746
d2v8qe1,2v8q,a+b,E:182-326
d2v8qe2,2v8q,a+b,E:23-181
d2riha1,2rih,a+b,A:2-132
d2oafa1,2oaf,a+b,A:1-143
d2oiwa1,2oiw,a+b,A:1-131
d2ov9a1,2ov9,a+b,A:7-209
d2q78a1,2q78,a+b,A:1-130
d2owna1,2own,a+b,A:3-149
d2owna2,2own,a+b,A:150-258
d3e2ba1,3e2b,a+b,A:3-89
d2h7aa1,2h7a,a+b,A:2-110
d2pa2a1,2pa2,a+b,A:40-176
d2qamm1,2qam,a+b,M:1-136
d2qkaa2,2qka,a+b,A:84-196
d2qami2,2qam,a+b,I:1-72
d2hjja1,2hjj,a+b,A:10-75
d2gkpa1,2gkp,a+b,A:1-164
d1x2ga1,1x2g,a+b,A:247-337
d2hc5a1,2hc5,a+b,A:1-109
d2qlvb2,2qlv,a+b,B:306-412
d2qrdb1,2qrd,a+b,B:205-297
d2nn6h3,2nn6,a+b,H:168-293
d2z0sa2,2z0s,a+b,A:148-234
d2ja9a2,2ja9,a+b,A:152-236
d2nn6g3,2nn6,a+b,G:195-274
d2e7ga1,2e7g,a+b,A:86-201
d2dyja1,2dyj,a+b,A:4-94
d3bypa1,3byp,a+b,A:6-87
d2qfia1,2qfi,a+b,A:209-290
d2d28c1,2d28,a+b,C:1-149
d2bh1x1,2bh1,a+b,X:14-81
d3c66a2,3c66,a+b,A:3-201
d2id1a1,2id1,a+b,A:1-120
d2o5aa1,2o5a,a+b,A:2-114
d2pbea2,2pbe,a+b,A:1-135
d2nrka1,2nrk,a+b,A:4-170
d2zjrp1,2zjr,a+b,P:8-134
d2cqma1,2cqm,a+b,A:28-136
d1vs6n1,1vs6,a+b,N:1-127
d2gpia1,2gpi,a+b,A:1-90
d2v4jc1,2v4j,a+b,C:3-105
d2v4jb1,2v4j,a+b,B:209-277
d2v4ja1,2v4j,a+b,A:242-322
d2qgfb1,2qgf,a+b,B:1-100
d2go8a1,2go8,a+b,A:3-110
d2pd1a1,2pd1,a+b,A:1-100
d2omoa1,2omo,a+b,A:1-98
d2okqa1,2okq,a+b,A:1-117
d2ifxa1,2ifx,a+b,A:1-108
d2od4a1,2od4,a+b,A:1-100
d1x8da1,1x8d,a+b,A:1-104
d2op5a1,2op5,a+b,A:4-115
d2od6a1,2od6,a+b,A:1-109
d2pgca1,2pgc,a+b,A:1-206
d2zfha1,2zfh,a+b,A:63-169
d2hfva1,2hfv,a+b,A:23-97
d2k3ka1,2k3k,a+b,A:1-104
d2voda2,2vod,a+b,A:105-192
d2jx2a1,2jx2,a+b,A:35-115
d2e29a1,2.00E+29,a+b,A:8-92
d2v6aa2,2v6a,a+b,A:9-149
d2qalf1,2qal,a+b,F:1-100
d2j5aa1,2j5a,a+b,A:3-108
d2qmwa2,2qmw,a+b,A:185-264
d3dhwc2,3dhw,a+b,C:241-343
d2qswa1,2qsw,a+b,A:256-345
d3ceda1,3ced,a+b,A:247-341
d2nzca1,2nzc,a+b,A:2-81
d2akja1,2akj,a+b,A:346-430
d2akja2,2akj,a+b,A:22-174
d1zj8a1,1zj8,a+b,A:327-406
d1zj8a2,1zj8,a+b,A:10-161
d3c7ba2,3c7b,a+b,A:1-166
d2v4jb2,2v4j,a+b,B:2-135
d2joqa1,2joq,a+b,A:4-89
d2g13a1,2g13,a+b,A:4-98
d2i0xa1,2i0x,a+b,A:1-84
d2ivya1,2ivy,a+b,A:2-89
d2czvc1,2czv,a+b,C:3-120
d3b8pa1,3b8p,a+b,A:54-292
d3b8oa1,3b8o,a+b,A:55-319
d3b8ma1,3b8m,a+b,A:64-330
d2raqa1,2raq,a+b,A:3-95
d1zava1,1zav,a+b,A:1-177
d2jxta1,2jxt,a+b,A:1-78
d2rfka2,2rfk,a+b,A:8-252
d2hiya1,2hiy,a+b,A:1-180
d2dira1,2dir,a+b,A:8-92
d2hpua1,2hpu,a+b,A:35-160
d1s6la2,1s6l,a+b,A:81-212
d3bq1a1,3bq1,a+b,A:240-344
d3ddva1,3ddv,a+b,A:3-145
d2pkha1,2pkh,a+b,A:109-249
d2ogga1,2ogg,a+b,A:95-238
d3cnva1,3cnv,a+b,A:98-259
d2ooia1,2ooi,a+b,A:73-233
d2ikka1,2ikk,a+b,A:86-238
d2ra5a1,2ra5,a+b,A:66-245
d3bwga2,3bwg,a+b,A:89-233
d2nwia1,2nwi,a+b,A:1-160
d2hh8a1,2hh8,a+b,A:7-133
d2ia1a1,2ia1,a+b,A:1-166
d2jmua1,2jmu,a+b,A:2-224
d2p92a1,2p92,a+b,A:1-106
d2idla1,2idl,a+b,A:1-112
d2vo9a1,2vo9,a+b,A:1-148
d2e1ba2,2e1b,a+b,A:88-216
d2d9ia1,2d9i,a+b,A:8-90
d2guka1,2guk,a+b,A:4-114
d2gmoa1,2gmo,a+b,A:685-759
d2ywqa1,2ywq,a+b,A:1-95
d2oa5a1,2oa5,a+b,A:7-102
d2i9fa1,2i9f,a+b,A:50-105
d2cjra1,2cjr,a+b,A:251-365
d2v6ai1,2v6a,a+b,I:2-140
d2p8ta2,2p8t,a+b,A:83-199
d2phcb2,2phc,a+b,B:2-85
d2o5ha1,2o5h,a+b,A:1-131
d2hg6a1,2hg6,a+b,A:1-106
d2dl6a1,2dl6,a+b,A:8-77
d2v0fa1,2v0f,a+b,A:2629-2715
d2j01g1,2j01,a+b,G:3-182
d2nwua1,2nwu,a+b,A:3-144
d2ogka1,2ogk,a+b,A:4-144
d2nrqa1,2nrq,a+b,A:4-144
d2pzza1,2pzz,a+b,A:2-134
d2otma1,2otm,a+b,A:2-153
d2vawa2,2vaw,a+b,A:209-316
d2btoa2,2bto,a+b,A:253-432
d1z2bb2,1z2b,a+b,B:246-438
d2fc3a1,2fc3,a+b,A:4-127
d2alea1,2ale,a+b,A:1-126
d1x52a1,1x52,a+b,A:8-118
d2qi2a3,2qi2,a+b,A:244-338
d2yyea1,2yye,a+b,A:1-154
d2z1ea1,2z1e,a+b,A:43-155
d2ohwa1,2ohw,a+b,A:3-130
d3byqa1,3byq,a+b,A:2-192
d2qtpa1,2qtp,a+b,A:3-171
d3dmta2,3dmt,a+b,A:165-333
d2gvia1,2gvi,a+b,A:1-168
d2dm9a1,2dm9,a+b,A:81-198
d2q22a1,2q22,a+b,A:8-138
d2ia9a1,2ia9,a+b,A:1-92
d3bzra1,3bzr,a+b,A:237-345
d3bona1,3bon,a+b,A:3-419
d2oi0a1,2oi0,a+b,A:219-473
d2ozra1,2ozr,a+b,A:83-249
d3cmna1,3cmn,a+b,A:43-391
d2ejqa1,2ejq,a+b,A:2-108
d3e11a1,3.00E+11,a+b,A:1-113
d2gjxa2,2gjx,a+b,A:23-166
d2j62a3,2j62,a+b,A:40-178
d2vvna3,2vvn,a+b,A:4-126
d1y57a2,1y57,a+b,A:141-246
d3c7ia1,3c7i,a+b,A:55-155
d2qmsa1,2qms,a+b,A:420-532
d2c9wa2,2c9w,a+b,A:32-134
d2izva2,2izv,a+b,A:274-385
d2yzca2,2yzc,a+b,A:142-297
d2o34a1,2o34,a+b,A:1-248
d2h4oa1,2h4o,a+b,A:2-63
d3elga1,3elg,a+b,A:20-146
d2gycf1,2gyc,a+b,F:59-149
d2gycf2,2gyc,a+b,F:1-58
d2gpfa1,2gpf,a+b,A:1-72
d2nn6a2,2nn6,a+b,A:185-302
d2nn6e2,2nn6,a+b,E:192-285
d2ba0d2,2ba0,a+b,D:154-252
d2nn6b2,2nn6,a+b,B:151-240
d2nn6d2,2nn6,a+b,D:147-235
d2ba0g2,2ba0,a+b,G:179-257
d2je6a2,2je6,a+b,A:192-275
d2nn6f2,2nn6,a+b,F:176-270
d2nn6c2,2nn6,a+b,C:188-276
d2p0la1,2p0l,a+b,A:4-272
d2c8mb1,2c8m,a+b,B:1-257
d1x2ga2,1x2g,a+b,A:1-246
d2p5ia1,2p5i,a+b,A:14-278
d2ddza1,2ddz,a+b,A:3-190
d2nsfa2,2nsf,a+b,A:161-240
d2cfua1,2cfu,a+b,A:530-655
d2hv2a1,2hv2,a+b,A:287-397
d2i00a1,2i00,a+b,A:301-406
d2ozga1,2ozg,a+b,A:291-395
d2i8ga1,2i8g,a+b,A:2-148
d2icga1,2icg,a+b,A:1-158
d2paga1,2pag,a+b,A:1-135
d2prva1,2prv,a+b,A:1-152
d2rc4a1,2rc4,a+b,A:507-779
d2d4pa1,2d4p,a+b,A:1-130
d2hqya1,2hqy,a+b,A:135-298
d2hqya2,2hqy,a+b,A:1-134
d2i00a2,2i00,a+b,A:10-300
d2ozga2,2ozg,a+b,A:8-290
d2hv2a2,2hv2,a+b,A:2-286
d2qtva4,2qtv,a+b,A:627-768
d2ozxa1,2ozx,a+b,A:1-125
d2oola1,2ool,a+b,A:140-333
d2veaa1,2vea,a+b,A:131-326
d2k2na1,2k2n,a+b,A:31-200
d3c2wa2,3c2w,a+b,A:310-494
d2veaa2,2vea,a+b,A:327-514
d2oola2,2ool,a+b,A:26-139
d2o9ca2,2o9c,a+b,A:4-130
d3c2wa3,3c2w,a+b,A:5-117
d2veaa3,2vea,a+b,A:4-130
d2p7ja1,2p7j,a+b,A:181-273
d2p7ja2,2p7j,a+b,A:9-180
d1zhhb1,1zhh,a+b,B:51-271
d1z09a1,1z09,a+b,A:1-96
d2grga1,2grg,a+b,A:1-98
d2j3wb1,2j3w,a+b,B:21-188
d2osoa1,2oso,a+b,A:5-156
d3c9fa1,3c9f,a+b,A:338-561
d2z1aa1,2z1a,a+b,A:330-534
d2oipa2,2oip,a+b,A:181-521
d2z15a1,2z15,a+b,A:10-126
d3e9va1,3e9v,a+b,A:9-128
d2joea1,2joe,a+b,A:2-131
d2j0311,2j03,a+b,1:8-96
d2qamz1,2qam,a+b,Z:2-78
d2jz6a1,2jz6,a+b,A:6-75
d2vhmz1,2vhm,a+b,Z:1-70
d2dsma1,2dsm,a+b,A:1-64
d2cmua1,2cmu,a+b,A:3-332
d2q96a1,2q96,a+b,A:2-264
d2ia7a1,2ia7,a+b,A:23-133
d2qlva1,2qlv,a+b,A:460-630
d2ooxa1,2oox,a+b,A:449-576
d2v8qa1,2v8q,a+b,A:396-548
d2psoa1,2pso,a+b,A:908-1104
d2nn5a1,2nn5,a+b,A:1-160
d3elia1,3eli,a+b,A:2-144
d2il5a1,2il5,a+b,A:5-168
d2k5ga1,2k5g,a+b,A:1-183
d2rera1,2rer,a+b,A:1-155
d3cnwa1,3cnw,a+b,A:3-140
d2qpva1,2qpv,a+b,A:1-133
d2b79a1,2b79,a+b,A:1-137
d2ns9a1,2ns9,a+b,A:10-156
d2pcsa1,2pcs,a+b,A:1-147
d2pwwa1,2pww,a+b,A:1-114
d2p02a1,2p02,a+b,A:38-147
d2p02a2,2p02,a+b,A:148-273
d2dbsa1,2dbs,a+b,A:7-86
d2hfqa1,2hfq,a+b,A:1-85
d1zj8a3,1zj8,a+b,A:407-555
d1zj8a4,1zj8,a+b,A:162-326
d2akja3,2akj,a+b,A:431-556
d2akja4,2akj,a+b,A:175-345
d2f5tx2,2f5t,a+b,X:110-246
d2z1ea2,2z1e,a+b,A:156-334
d2zoda2,2zod,a+b,A:155-336
d2d7va1,2d7v,a+b,A:7-161
d2opla1,2opl,a+b,A:4-185
d2pn2a1,2pn2,a+b,A:1-132
d2onfa1,2onf,a+b,A:1-139
d2vqeh1,2vqe,a+b,H:1-138
d2cqla1,2cql,a+b,A:1-87
d2qamg1,2qam,a+b,G:1-81
d2qamg2,2qam,a+b,G:82-176
d2zjre2,2zjr,a+b,E:5-82
d2iaya1,2iay,a+b,A:1-113
d2pbza2,2pbz,a+b,A:100-312
d2r7ka2,2r7k,a+b,A:124-361
d2zdta1,2zdt,a+b,A:45-400
d3bw5a1,3bw5,a+b,A:2-335
d3blha1,3blh,a+b,A:8-325
d2jfla1,2jfl,a+b,A:21-308
d2pula1,2pul,a+b,A:5-396
d2ppqa1,2ppq,a+b,A:5-320
d1zyla1,1zyl,a+b,A:4-328
d2rk5a1,2rk5,a+b,A:5-88
d2p13a1,2p13,a+b,A:431-515
d2o1ra1,2o1r,a+b,A:1-78
d2o3ga1,2o3g,a+b,A:180-255
d2r2za1,2r2z,a+b,A:5-88
d2nqwa1,2nqw,a+b,A:4-90
d2plia1,2pli,a+b,A:5-88
d2p4pa1,2p4p,a+b,A:1-82
d2oaia1,2oai,a+b,A:5-91
d2p3ha1,2p3h,a+b,A:5-102
d2qdya1,2qdy,a+b,A:10-206
d2z3ba1,2z3b,a+b,A:1-180
d2imha1,2imh,a+b,A:1-229
d2gmna1,2gmn,a+b,A:29-292
d2dkfa1,2dkf,a+b,A:1-431
d2i7ta1,2i7t,a+b,A:9-459
d2p97a1,2p97,a+b,A:1-200
d2cfua2,2cfu,a+b,A:20-524
d2q0ja1,2q0j,a+b,A:1-301
d2z1aa2,2z1a,a+b,A:28-329
d3c9fa2,3c9f,a+b,A:16-337
d2yvta1,2yvt,a+b,A:4-260
d3ck2a1,3ck2,a+b,A:1-173
d2hy1a1,2hy1,a+b,A:10-265
d3d03a1,3d03,a+b,A:1-271
d2nxfa1,2nxf,a+b,A:3-322
d2f9zc1,2f9z,a+b,C:1-157
d1zela2,1zel,a+b,A:83-294
d2fqma1,2fqm,a+b,A:107-171
d2nxpa1,2nxp,a+b,A:195-343
d2j49a1,2j49,a+b,A:149-282
d2j4ba1,2j4b,a+b,A:18-148
d2pw4a1,2pw4,a+b,A:1-184
d2r6ia1,2r6i,a+b,A:1-261
d2zd2a1,2zd2,a+b,A:1005-1238
d3ctka1,3ctk,a+b,A:3-248
d3buza2,3buz,a+b,A:210-413
d3cira3,3cir,a+b,A:226-357
d3c0na1,3c0n,a+b,A:2-84
d2b4cg1,2b4c,a+b,G:84-492
d3e7ma1,3e7m,a+b,A:77-497
d2pifa1,2pif,a+b,A:7-262
d2p3pa1,2p3p,a+b,A:66-262
